,code
0,600075
1,603299
2,002280
3,600775
4,600161
5,002421
6,002877
7,002432
8,600072
9,600157
10,000795
11,002209
12,002008
13,000543
14,002435
15,300221
16,000415
17,002611
18,601608
19,600363
20,002618
21,600765
22,002357
23,002139
24,601965
25,600741
26,002456
27,002222
28,000901
29,000960
30,002512
31,601700
32,601231
33,600717
34,603486
35,300229
36,600330
37,600260
38,000040
39,600171
40,002053
41,600657
42,300672
43,600565
44,300079
45,600798
46,002241
47,002405
48,002073
49,300209
50,000553
51,300223
52,600271
53,300367
54,600640
55,600578
56,300020
57,300183
58,600728
59,603766
60,600466
61,300115
62,601118
63,600848
64,601727
65,000997
66,000100
67,300222
68,300007
69,601877
70,002230
71,600021
72,600482
73,002236
74,001896
75,002161
76,002320
77,600764
78,000851
79,002414
80,300048
81,300531
82,002590
83,603666
84,000065
85,600839
86,000333
87,300276
88,000977
89,600736
90,600982
91,300296
92,002526
93,600511
94,002049
95,000959
96,000429
97,000958
98,600339
99,002253
100,600740
101,601360
102,000969
103,600517
104,600410
105,002031
106,000988
107,600503
108,300044
109,002189
110,002681
111,600738
112,600522
113,600078
114,002091
115,300327
116,600756
117,600378
118,000892
119,002402
120,300024
121,002698
122,002111
123,300123
124,001696
125,300078
126,300098
127,600835
128,002180
129,300331
130,600797
131,600198
132,300124
133,300184
134,002362
135,600100
136,000416
137,002110
138,600335
139,600636
140,600525
141,002273
142,002415
143,300131
144,600699
145,603019
146,000042
147,600718
148,600981
149,600500
150,300185
151,600580
152,002444
153,603083
154,600316
155,600690
