,code
0,000553
1,000568
2,000596
3,000729
4,000830
5,000858
6,000860
7,000876
8,000895
9,000902
10,000930
11,000998
12,002157
13,002299
14,002304
15,002311
16,002385
17,002387
18,002458
19,002461
20,002470
21,002507
22,002714
23,300146
24,300498
25,300761
26,600132
27,600298
28,600299
29,600426
30,600438
31,600486
32,600519
33,600597
34,600598
35,600600
36,600737
37,600779
38,600809
39,600811
40,600872
41,600873
42,600887
43,601118
44,603198
45,603288
46,603369
47,603517
48,603589
49,603866
50,
51,000553
52,000568
53,000596
54,000729
55,000830
56,000858
57,000860
58,000876
59,000895
60,000902
61,000930
62,000998
63,002157
64,002299
65,002304
66,002311
67,002385
68,002387
69,002458
70,002461
71,002470
72,002507
73,002714
74,300146
75,300498
76,300761
77,600132
78,600298
79,600299
80,600426
81,600438
82,600486
83,600519
84,600597
85,600598
86,600600
87,600737
88,600779
89,600809
90,600811
91,600872
92,600873
93,600887
94,601118
95,603198
96,603288
97,603369
98,603517
99,603589
100,603866
101,
102,000039
103,000063
104,000157
105,000338
106,000488
107,000585
108,000756
109,000898
110,000921
111,002202
112,002490
113,002594
114,002672
115,002703
116,600011
117,600012
118,600016
119,600026
120,600027
121,600028
122,600029
123,600030
124,600036
125,600115
126,600188
127,600196
128,600332
129,600362
130,600377
131,600548
132,600585
133,600600
134,600685
135,600688
136,600775
137,600808
138,600837
139,600860
140,600871
141,600874
142,600875
143,600876
144,601005
145,601038
146,601088
147,601107
148,601111
149,601186
150,601238
151,601288
152,601318
153,601328
154,601333
155,601336
156,601390
157,601398
158,601588
159,601600
160,601601
161,601607
162,601618
163,601628
164,601633
165,601717
166,601727
167,601766
168,601800
169,601808
170,601857
171,601866
172,601880
173,601898
174,601899
175,601919
176,601939
177,601988
178,601991
179,601992
180,601998
181,603993
182,601818
183,000513
184,000002
185,600660
186,601688
187,000776
188,600958
189,601811
190,601788
191,600999
192,600635
193,601375
194,601881
195,601211
196,601326
197,603157
198,002910
199,601828
200,601330
201,601066
202,601869
203,601068
204,002936
205,600547
206,002460
207,601319
208,603259
209,002948
210,601598
211,601298
212,601865
213,000166
214,688009
215,003816
216,601077
217,688366
218,601916
219,300759
220,601658
