code,tradeStatus,code_name,code2,market2,market,type,kind,type2
430047,1,,bj.430047,bj,1,证券,债券,6
430090,1,,bj.430090,bj,1,证券,债券,6
430139,1,,bj.430139,bj,1,证券,债券,6
430198,1,,bj.430198,bj,1,证券,债券,6
430300,1,,bj.430300,bj,1,证券,债券,6
430418,1,,bj.430418,bj,1,证券,债券,6
430425,1,,bj.430425,bj,1,证券,债券,6
430476,1,,bj.430476,bj,1,证券,债券,6
430489,1,,bj.430489,bj,1,证券,债券,6
430510,1,,bj.430510,bj,1,证券,债券,6
430564,1,,bj.430564,bj,1,证券,债券,6
430685,1,,bj.430685,bj,1,证券,债券,6
430718,1,,bj.430718,bj,1,证券,债券,6
830799,1,,bj.830799,bj,1,指数板块,板块,0
830832,1,,bj.830832,bj,1,指数板块,板块,0
830839,1,,bj.830839,bj,1,指数板块,板块,0
830879,1,,bj.830879,bj,1,指数板块,板块,0
830946,1,,bj.830946,bj,1,指数板块,板块,0
830964,1,,bj.830964,bj,1,指数板块,板块,0
831010,1,,bj.831010,bj,1,指数板块,板块,0
831039,1,,bj.831039,bj,1,指数板块,板块,0
831087,1,,bj.831087,bj,1,指数板块,板块,0
831152,1,,bj.831152,bj,1,指数板块,板块,0
831167,1,,bj.831167,bj,1,指数板块,板块,0
831195,1,,bj.831195,bj,1,指数板块,板块,0
831278,1,,bj.831278,bj,1,指数板块,板块,0
831305,1,,bj.831305,bj,1,指数板块,板块,0
831370,1,,bj.831370,bj,1,指数板块,板块,0
831445,1,,bj.831445,bj,1,指数板块,板块,0
831526,1,,bj.831526,bj,1,指数板块,板块,0
831641,1,,bj.831641,bj,1,指数板块,板块,0
831689,1,,bj.831689,bj,1,指数板块,板块,0
831726,1,,bj.831726,bj,1,指数板块,板块,0
831768,1,,bj.831768,bj,1,指数板块,板块,0
831832,1,,bj.831832,bj,1,指数板块,板块,0
831834,1,,bj.831834,bj,1,指数板块,板块,0
831855,1,,bj.831855,bj,1,指数板块,板块,0
831856,1,,bj.831856,bj,1,指数板块,板块,0
831961,1,,bj.831961,bj,1,指数板块,板块,0
832000,1,,bj.832000,bj,1,指数板块,板块,0
832023,1,,bj.832023,bj,1,指数板块,板块,0
832089,1,,bj.832089,bj,1,指数板块,板块,0
832110,1,,bj.832110,bj,1,指数板块,板块,0
832145,1,,bj.832145,bj,1,指数板块,板块,0
832171,1,,bj.832171,bj,1,指数板块,板块,0
832225,1,,bj.832225,bj,1,指数板块,板块,0
832278,1,,bj.832278,bj,1,指数板块,板块,0
832419,1,,bj.832419,bj,1,指数板块,板块,0
832491,1,,bj.832491,bj,1,指数板块,板块,0
832566,1,,bj.832566,bj,1,指数板块,板块,0
832662,1,,bj.832662,bj,1,指数板块,板块,0
832735,1,,bj.832735,bj,1,指数板块,板块,0
832802,1,,bj.832802,bj,1,指数板块,板块,0
832876,1,,bj.832876,bj,1,指数板块,板块,0
832885,1,,bj.832885,bj,1,指数板块,板块,0
833075,1,,bj.833075,bj,1,指数板块,板块,0
833171,1,,bj.833171,bj,1,指数板块,板块,0
833230,1,,bj.833230,bj,1,指数板块,板块,0
833266,1,,bj.833266,bj,1,指数板块,板块,0
833346,1,,bj.833346,bj,1,指数板块,板块,0
833427,1,,bj.833427,bj,1,指数板块,板块,0
833429,1,,bj.833429,bj,1,指数板块,板块,0
833454,1,,bj.833454,bj,1,指数板块,板块,0
833509,1,,bj.833509,bj,1,指数板块,板块,0
833523,1,,bj.833523,bj,1,指数板块,板块,0
833533,1,,bj.833533,bj,1,指数板块,板块,0
833580,1,,bj.833580,bj,1,指数板块,板块,0
833781,1,,bj.833781,bj,1,指数板块,板块,0
833819,1,,bj.833819,bj,1,指数板块,板块,0
833873,1,,bj.833873,bj,1,指数板块,板块,0
