,code,name,pre_close,value,volunit,decimal_point,type,kind,market,type2,py
0,,,,,,,,,1,10,
1,881240,其他生物,906.5800170898438,,100.0,2.0,指数板块,板块,1,0,QTSW
2,881241,医疗器械,908.2899780273438,,100.0,2.0,指数板块,板块,1,0,YLQX
3,881242,家用器械,1228.75,,100.0,2.0,指数板块,板块,1,0,JYQX
4,881243,医疗设备,925.7000122070312,,100.0,2.0,指数板块,板块,1,0,YLSB
5,881244,医疗耗材,778.2100219726562,,100.0,2.0,指数板块,板块,1,0,YLHC
6,881245,体外诊断,1031.699951171875,,100.0,2.0,指数板块,板块,1,0,TWZD
7,881246,制药装备,648.8900146484375,,100.0,2.0,指数板块,板块,1,0,ZYZB
8,881247,医疗服务,730.25,,100.0,2.0,指数板块,板块,1,0,YLFW
9,881248,诊断服务,771.719970703125,,100.0,2.0,指数板块,板块,1,0,ZDFW
10,881249,医疗研发,631.510009765625,,100.0,2.0,指数板块,板块,1,0,YLYF
11,881250,医院,968.1400146484375,,100.0,2.0,指数板块,板块,1,0,YY
12,881251,其他医疗,775.77001953125,,100.0,2.0,指数板块,板块,1,0,QTYL
13,881252,医药商业,1098.5899658203125,,100.0,2.0,指数板块,板块,1,0,YYSY
14,881253,医药流通,1054.0699462890625,,100.0,2.0,指数板块,板块,1,0,YYLT
15,881254,线下药店,1214.4100341796875,,100.0,2.0,指数板块,板块,1,0,XXYD
16,881256,中药,1018.97998046875,,100.0,2.0,指数板块,板块,1,0,ZY
17,881257,医疗美容,981.739990234375,,100.0,2.0,指数板块,板块,1,0,YLMR
18,881258,医美耗材,1021.3499755859375,,100.0,2.0,指数板块,板块,1,0,YMHC
19,881260,电力设备,764.3400268554688,,100.0,2.0,指数板块,板块,1,0,DLSB
20,881261,电机制造,795.6599731445312,,100.0,2.0,指数板块,板块,1,0,DJZZ
21,881262,电池,640.22998046875,,100.0,2.0,指数板块,板块,1,0,DC
22,881263,锂电池,656.3599853515625,,100.0,2.0,指数板块,板块,1,0,LDC
23,881264,电池化学,615.5599975585938,,100.0,2.0,指数板块,板块,1,0,DCHX
24,881265,锂电设备,564.239990234375,,100.0,2.0,指数板块,板块,1,0,LDSB
25,881266,燃料电池,590.8900146484375,,100.0,2.0,指数板块,板块,1,0,RLDC
26,881267,其他电池,877.719970703125,,100.0,2.0,指数板块,板块,1,0,QTDC
27,881268,电网设备,829.3300170898438,,100.0,2.0,指数板块,板块,1,0,DWSB
28,881269,电工仪器,1225.7099609375,,100.0,2.0,指数板块,板块,1,0,DGYQ
29,881270,电网自动,799.6400146484375,,100.0,2.0,指数板块,板块,1,0,DWZD
30,881271,输变电设,876.780029296875,,100.0,2.0,指数板块,板块,1,0,SBDS
31,881272,配电设备,716.8099975585938,,100.0,2.0,指数板块,板块,1,0,PDSB
32,881273,线缆部件,811.3200073242188,,100.0,2.0,指数板块,板块,1,0,XLBJ
33,881275,光伏设备,906.2100219726562,,100.0,2.0,指数板块,板块,1,0,GFSB
34,881276,光伏硅料,901.3800048828125,,100.0,2.0,指数板块,板块,1,0,GFGL
35,881277,光伏硅片,825.47998046875,,100.0,2.0,指数板块,板块,1,0,GFGP
36,881278,光伏电池,1071.8800048828125,,100.0,2.0,指数板块,板块,1,0,GFDC
37,881279,光伏逆变,925.2100219726562,,100.0,2.0,指数板块,板块,1,0,GFNB
38,881280,光伏辅材,790.3400268554688,,100.0,2.0,指数板块,板块,1,0,GFFC
39,881281,光伏加工,1014.6799926757812,,100.0,2.0,指数板块,板块,1,0,GFJG
40,881282,风电设备,778.510009765625,,100.0,2.0,指数板块,板块,1,0,FDSB
41,881283,风电整机,799.8300170898438,,100.0,2.0,指数板块,板块,1,0,FDZJ
42,881284,风电零部,767.0999755859375,,100.0,2.0,指数板块,板块,1,0,FDLB
43,881285,其它发电,981.1099853515625,,100.0,2.0,指数板块,板块,1,0,QTFD
44,881286,国防军工,810.25,,100.0,2.0,指数板块,板块,1,0,GFJG
45,881287,地面兵装,885.3300170898438,,100.0,2.0,指数板块,板块,1,0,DMBZ
46,881288,航空装备,774.530029296875,,100.0,2.0,指数板块,板块,1,0,HKZB
47,881289,航天装备,906.0499877929688,,100.0,2.0,指数板块,板块,1,0,HTZB
48,881290,航海装备,901.5599975585938,,100.0,2.0,指数板块,板块,1,0,HHZB
49,881291,军工电子,787.22998046875,,100.0,2.0,指数板块,板块,1,0,JGDZ
50,881292,机械设备,902.3599853515625,,100.0,2.0,指数板块,板块,1,0,JXSB
51,881293,轨交设备,910.3200073242188,,100.0,2.0,指数板块,板块,1,0,GJSB
52,881294,通用设备,931.97998046875,,100.0,2.0,指数板块,板块,1,0,TYSB
53,881295,仪器仪表,998.8699951171875,,100.0,2.0,指数板块,板块,1,0,YQYB
54,881296,机床制造,980.0800170898438,,100.0,2.0,指数板块,板块,1,0,JCZZ
55,881297,机械基础,913.1199951171875,,100.0,2.0,指数板块,板块,1,0,JXJC
56,881298,金属制品,1015.6900024414062,,100.0,2.0,指数板块,板块,1,0,JSZP
57,881299,内燃机,796.5599975585938,,100.0,2.0,指数板块,板块,1,0,NRJ
58,881300,制冷空调,967.7899780273438,,100.0,2.0,指数板块,板块,1,0,ZLKT
59,881301,磨具磨料,863.7999877929688,,100.0,2.0,指数板块,板块,1,0,MJML
60,881302,其他通用,833.0999755859375,,100.0,2.0,指数板块,板块,1,0,QTTY
61,881303,专用设备,924.6599731445312,,100.0,2.0,指数板块,板块,1,0,ZYSB
62,881304,能源及重,985.7000122070312,,100.0,2.0,指数板块,板块,1,0,NYJZ
63,881305,印刷包装,847.010009765625,,100.0,2.0,指数板块,板块,1,0,YSBZ
64,881306,纺织服装,854.780029296875,,100.0,2.0,指数板块,板块,1,0,FZFZ
65,881307,农用机械,1069.8599853515625,,100.0,2.0,指数板块,板块,1,0,NYJX
66,881308,楼宇设备,1001.0,,100.0,2.0,指数板块,板块,1,0,LYSB
67,881309,其他专用,898.969970703125,,100.0,2.0,指数板块,板块,1,0,QTZY
68,881310,工程机械,822.6699829101562,,100.0,2.0,指数板块,板块,1,0,GCJX
69,881311,工程机械,830.6099853515625,,100.0,2.0,指数板块,板块,1,0,GCJX
70,881312,工程机械,793.3900146484375,,100.0,2.0,指数板块,板块,1,0,GCJX
71,881313,自动化设,902.239990234375,,100.0,2.0,指数板块,板块,1,0,ZDHS
72,881314,机器人,886.3300170898438,,100.0,2.0,指数板块,板块,1,0,JQR
73,881315,工业控制,1011.280029296875,,100.0,2.0,指数板块,板块,1,0,GYKZ
74,881316,激光设备,672.2999877929688,,100.0,2.0,指数板块,板块,1,0,JGSB
75,881318,电子,734.2899780273438,,100.0,2.0,指数板块,板块,1,0,DZ
76,881319,半导体,688.989990234375,,100.0,2.0,指数板块,板块,1,0,BDT
77,881320,半导体材,779.02001953125,,100.0,2.0,指数板块,板块,1,0,BDTC
78,881321,半导体设,763.6699829101562,,100.0,2.0,指数板块,板块,1,0,BDTS
79,881322,集成电路,639.0,,100.0,2.0,指数板块,板块,1,0,JCDL
80,881323,功率半导,627.6699829101562,,100.0,2.0,指数板块,板块,1,0,GLBD
81,881324,半导体制,765.6199951171875,,100.0,2.0,指数板块,板块,1,0,BDTZ
82,881325,半导体封,809.739990234375,,100.0,2.0,指数板块,板块,1,0,BDTF
83,881326,消费电子,778.469970703125,,100.0,2.0,指数板块,板块,1,0,XFDZ
84,881327,消费电子,773.4000244140625,,100.0,2.0,指数板块,板块,1,0,XFDZ
85,881328,品牌消费,780.3800048828125,,100.0,2.0,指数板块,板块,1,0,PPXF
86,881329,光学光电,756.989990234375,,100.0,2.0,指数板块,板块,1,0,GXGD
87,881330,面板,814.010009765625,,100.0,2.0,指数板块,板块,1,0,MB
88,881331,光学元件,779.7899780273438,,100.0,2.0,指数板块,板块,1,0,GXYJ
89,881332,LED,679.6900024414062,,100.0,2.0,指数板块,板块,1,0,L
90,881333,元器件,776.8099975585938,,100.0,2.0,指数板块,板块,1,0,YQJ
91,881334,PCB,794.77001953125,,100.0,2.0,指数板块,板块,1,0,P
92,881335,被动元件,747.4199829101562,,100.0,2.0,指数板块,板块,1,0,BDYJ
93,881336,其他电子,849.8900146484375,,100.0,2.0,指数板块,板块,1,0,QTDZ
94,881337,通信,990.0700073242188,,100.0,2.0,指数板块,板块,1,0,TX
95,881338,通信设备,900.3599853515625,,100.0,2.0,指数板块,板块,1,0,TXSB
96,881339,光纤光缆,926.8400268554688,,100.0,2.0,指数板块,板块,1,0,GXGL
97,881340,网络接配,919.5900268554688,,100.0,2.0,指数板块,板块,1,0,WLJP
98,881341,系统设备,863.3699951171875,,100.0,2.0,指数板块,板块,1,0,XTSB
99,881342,通信终端,880.469970703125,,100.0,2.0,指数板块,板块,1,0,TXZD
100,881343,其他通信,916.6599731445312,,100.0,2.0,指数板块,板块,1,0,QTTX
101,881344,电信服务,1241.969970703125,,100.0,2.0,指数板块,板块,1,0,DXFW
102,881345,电信运营,1301.989990234375,,100.0,2.0,指数板块,板块,1,0,DXYY
103,881346,电信增值,931.0499877929688,,100.0,2.0,指数板块,板块,1,0,DXZZ
104,881347,通信工程,922.9000244140625,,100.0,2.0,指数板块,板块,1,0,TXGC
105,881348,网络规划,860.0999755859375,,100.0,2.0,指数板块,板块,1,0,WLGH
106,881349,网络工程,1049.1500244140625,,100.0,2.0,指数板块,板块,1,0,WLGC
107,881350,网络优化,914.0700073242188,,100.0,2.0,指数板块,板块,1,0,WLYH
108,881351,计算机,931.6199951171875,,100.0,2.0,指数板块,板块,1,0,JSJ
109,881352,IT设备,863.030029296875,,100.0,2.0,指数板块,板块,1,0,ISB
110,881353,安防设备,794.0599975585938,,100.0,2.0,指数板块,板块,1,0,AFSB
111,881354,其他IT设,952.0700073242188,,100.0,2.0,指数板块,板块,1,0,QTIS
112,881355,软件服务,968.4600219726562,,100.0,2.0,指数板块,板块,1,0,RJFW
