,code,name,pre_close,volunit,decimal_point,value,type,kind,market,type2,py
0,395001,主板Ａ股,1504.0,100.0,2.0,,指数板块,指数,0,0,ZBＡG
1,395002,主板Ｂ股,192.0,100.0,2.0,,指数板块,指数,0,0,ZBＢG
2,395004,创业板,1233.0,100.0,2.0,,指数板块,指数,0,0,CYB
3,395005,主板DR,5.877471754111438e-39,100.0,2.0,,指数板块,指数,0,0,ZBD
4,395006,创业板DR,5.877471754111438e-39,100.0,2.0,,指数板块,指数,0,0,CYBD
5,395011,封闭基金,32768.5,100.0,2.0,,指数板块,指数,0,0,FBJJ
6,395012,ＬＯＦｓ,299.0,100.0,2.0,,指数板块,指数,0,0,Ｌ
7,395013,ＥＴＦｓ,289.0,100.0,2.0,,指数板块,指数,0,0,Ｅ
8,395015,REITS,264.0,100.0,2.0,,指数板块,指数,0,0,R
9,395032,债券回购,264.0,100.0,2.0,,指数板块,指数,0,0,ZQHG
10,395033,债券现货,10988.0,100.0,2.0,,指数板块,指数,0,0,ZQXH
11,395034,ABS,1225.0,100.0,2.0,,指数板块,指数,0,0,A
12,395041,股票权证,5.877471754111438e-39,100.0,2.0,,指数板块,指数,0,0,GPQZ
13,395099,总 成 交,2779.0,100.0,2.0,,指数板块,指数,0,0,ZCJ
14,399001,深证成指,11912.5615234375,100.0,2.0,,指数板块,指数,0,0,SZCZ
15,399002,深成指R,15147.3984375,100.0,2.0,,指数板块,指数,0,0,SCZR
16,399003,成份Ｂ指,8438.4560546875,100.0,2.0,,指数板块,指数,0,0,CFＢZ
17,399004,深证100R,7293.783203125,100.0,2.0,,指数板块,指数,0,0,SZ1
18,399005,中小100,7915.5498046875,100.0,2.0,,指数板块,指数,0,0,ZX1
19,399006,创业板指,2544.09130859375,100.0,2.0,,指数板块,指数,0,0,CYBZ
20,399007,深证300,5094.1552734375,100.0,2.0,,指数板块,指数,0,0,SZ3
21,399008,中小300,1531.302978515625,100.0,2.0,,指数板块,指数,0,0,ZX3
22,399009,深证200,4290.39892578125,100.0,2.0,,指数板块,指数,0,0,SZ2
23,399010,深证700,7274.703125,100.0,2.0,,指数板块,指数,0,0,SZ7
24,399011,深证1000,5711.06396484375,100.0,2.0,,指数板块,指数,0,0,SZ1
25,399012,创业300,3538.69921875,100.0,2.0,,指数板块,指数,0,0,CY3
26,399013,深市精选,5167.8916015625,100.0,2.0,,指数板块,指数,0,0,SSJX
27,399015,中小创新,2466.689697265625,100.0,2.0,,指数板块,指数,0,0,ZXCX
28,399016,深证创新,4413.08251953125,100.0,2.0,,指数板块,指数,0,0,SZCX
29,399017,SME创新,3753.189208984375,100.0,2.0,,指数板块,指数,0,0,SCX
30,399018,创业创新,4414.65576171875,100.0,2.0,,指数板块,指数,0,0,CYCX
31,399030,碳科技30,4287.34423828125,100.0,2.0,,指数板块,指数,0,0,TKJ3
32,399050,创新引擎,2796.33544921875,100.0,2.0,,指数板块,指数,0,0,CXYQ
33,399060,碳科技60,3129.109619140625,100.0,2.0,,指数板块,指数,0,0,TKJ6
34,399088,深创100,3767.203125,100.0,2.0,,指数板块,指数,0,0,SC1
35,399100,新指数,9935.8095703125,100.0,2.0,,指数板块,指数,0,0,XZS
36,399101,中小综指,12567.6474609375,100.0,2.0,,指数板块,指数,0,0,ZXZZ
37,399102,创业板综,2958.172119140625,100.0,2.0,,指数板块,指数,0,0,CYBZ
38,399103,乐富指数,7514.32470703125,100.0,2.0,,指数板块,指数,0,0,LFZS
39,399106,深证综指,2145.185546875,100.0,2.0,,指数板块,指数,0,0,SZZZ
40,399107,深证Ａ指,2244.180908203125,100.0,2.0,,指数板块,指数,0,0,SZＡZ
41,399108,深证Ｂ指,1219.2607421875,100.0,2.0,,指数板块,指数,0,0,SZＢZ
42,399231,农林指数,1542.0955810546875,100.0,2.0,,指数板块,指数,0,0,NLZS
